"광주광역시","2아",4980,2583,2397,4972,2534,2438,4812,2463,2349,4412,2223,2189,3894,2060,1834,3509,1808,1701,3197,1607,1590,2751,1393,1358,2961,1542,1419,2586,1337,1249
"광주광역시","3아 이상",1552,807,745,1495,790,705,1442,748,694,1356,691,665,1108,563,545,966,474,492,927,457,470,779,400,379,788,386,402,653,316,337
"광주광역시","미상",15,6,9,20,11,9,31,19,12,34,17,17,24,11,13,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0
"대전광역시","총계",14099,7159,6940,13962,7257,6705,13774,7143,6631,12436,6417,6019,10851,5588,5263,9337,4759,4578,8410,4267,4143,7481,3913,3568,7414,3851,3563,7677,3970,3707
"대전광역시","1아",7094,3612,3482,7068,3647,3421,7041,3654,3387,6398,3247,3151,5524,2878,2646,4809,2431,2378,4421,2257,2164,3923,2025,1898,3983,2103,1880,4549,2337,2212
"대전광역시","2아",5464,2748,2716,5431,2812,2619,5262,2733,2529,4752,2508,2244,4201,2152,2049,3612,1833,1779,3147,1581,1566,2812,1485,1327,2716,1394,1322,2498,1296,1202
"대전광역시","3아 이상",1515,787,728,1451,793,658,1449,743,706,1263,653,610,1107,546,561,913,492,421,842,429,413,743,401,342,715,354,361,629,337,292
"대전광역시","미상",26,12,14,12,5,7,22,13,9,23,9,14,19,12,7,3,3,0,0,0,0,3,2,1,0,0,0,1,0,1
"울산광역시","총계",11330,5742,5588,11556,5927,5629,11732,6045,5687,10910,5643,5267,9381,4879,4502,8149,4179,3970,7539,3840,3699,6617,3294,3323,6127,3176,2951,5399,2747,2652
"울산광역시","1아",5826,2925,2901,5993,3117,2876,6122,3211,2911,5671,2923,2748,4907,2536,2371,4307,2203,2104,3878,1971,1907,3589,1767,1822,3384,1739,1645,3135,1617,1518
"울산광역시","2아",4460,2256,2204,4489,2244,2245,4575,2332,2243,4232,2211,2021,3647,1916,1731,3133,1612,1521,2978,1506,1472,2520,1277,1243,2244,1165,1079,1879,949,930
"울산광역시","3아 이상",1031,555,476,1068,561,507,1009,493,516,993,502,491,814,421,393,707,364,343,682,362,320,508,250,258,499,272,227,385,181,204
