"행정구역별(시도)","연령별",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","연령별",총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자
"읍부","계",111308,53256,58052,74060,47369,26691,15404,1784,13620,17584,1984,15600,4260,2119,2141,115603,55365,60238,76231,49138,27093,16895,1940,14955,18300,2258,16042,4177,2029,2148,125125,60075,65050,82987,53252,29735,18281,2146,16135,19582,2601,16981,4275,2076,2199,133789,64102,69687,88220,56659,31561,19928,2253,17675,20737,2852,17885,4904,2338,2566,141168,67529,73639,93126,59845,33281,21900,2651,19249,21647,3113,18534,4495,1920,2575,147451,70294,77157,96552,61882,34670,23826,2991,20835,22279,3372,18907,4794,2049,2745,149853,71649,78204,97265,62445,34820,25497,3254,22243,21853,3576,18277,5238,2374,2864
"읍부","0~9세",24697,12540,12157,24127,12269,11858,370,158,212,X,X,X,200,113,87,25395,12849,12546,24855,12600,12255,375,167,208,X,X,X,165,82,83,26441,13355,13086,25787,13052,12735,410,184,226,X,X,X,244,119,125,26908,13519,13389,26150,13182,12968,430,194,236,X,X,X,328,143,185,27057,13607,13450,26219,13216,13003,542,259,283,X,X,X,296,132,164,26997,13563,13434,26072,13112,12960,611,299,312,X,X,X,314,152,162,25530,12886,12644,24597,12413,12184,647,331,316,X,X,X,286,142,144
"읍부","10~19세",9688,4902,4786,9043,4673,4370,287,109,178,105,X,105,253,120,133,10394,5261,5133,9796,5053,4743,337,133,204,95,X,95,166,75,91,12771,6425,6346,12081,6190,5891,394,161,233,118,X,118,178,74,104,15625,7781,7844,14621,7419,7202,469,197,272,157,X,156,378,164,214,18286,9221,9065,17226,8793,8433,586,251,335,100,X,100,374,177,197,20771,10517,10254,19685,10035,9650,708,309,399,9,X,9,369,173,196,22741,11466,11275,21439,10907,10532,834,356,478,11,X,11,457,203,254
"읍부","20~29세",11995,2302,9693,2627,1478,1149,2828,273,2555,5939,169,5770,601,382,219,10746,1846,8900,1931,1068,863,2733,271,2462,5511,149,5362,571,358,213,10636,1983,8653,2448,1198,1250,2310,262,2048,5294,167,5127,584,356,228,10467,2116,8351,2425,1343,1082,2401,226,2175,5016,170,4846,625,377,248,10923,2508,8415,3353,1873,1480,2175,232,1943,4900,143,4757,495,260,235,10834,2823,8011,3889,2210,1679,2056,214,1842,4399,147,4252,490,252,238,10458,3071,7387,4383,2413,1970,1963,207,1756,3530,134,3396,582,317,265
"읍부","30~39세",17406,5508,11898,5087,4023,1064,5799,332,5467,5918,715,5203,602,438,164,18440,5273,13167,4555,3613,942,6663,376,6287,6593,859,5734,629,425,204,20452,5604,14848,4952,3729,1223,7450,434,7016,7355,990,6365,695,451,244,21779,5726,16053,4791,3645,1146,8339,497,7842,7864,1101,6763,785,483,302,23274,5754,17520,4478,3382,1096,9255,580,8675,8802,1360,7442,739,432,307,24230,5708,18522,4269,3111,1158,9837,644,9193,9322,1493,7829,802,460,342,23846,5543,18303,3954,2851,1103,9996,611,9385,9057,1531,7526,839,550,289
"읍부","40~49세",22015,14654,7361,14437,13231,1206,3514,438,3076,3315,607,2708,749,378,371,22977,15158,7819,14910,13651,1259,3867,466,3401,3457,665,2792,743,376,367,23918,15408,8510,15111,13790,1321,4354,492,3862,3741,756,2985,712,370,342,24896,15547,9349,15328,13827,1501,4692,519,4173,4159,824,3335,717,377,340,25233,15263,9970,15170,13587,1583,5117,550,4567,4312,834,3478,634,292,342,25546,14635,10911,14527,12864,1663,5661,596,5065,4696,878,3818,662,297,365,25517,13775,11742,13431,11813,1618,6328,672,5656,5043,951,4092,715,339,376
"읍부","50~59세",13456,8498,4958,8678,7429,1249,1747,266,1481,1926,355,1571,1105,448,657,14802,9707,5095,9641,8545,1096,1942,309,1633,2182,427,1755,1037,426,611,16922,11342,5580,11264,10104,1160,2234,355,1879,2473,486,1987,951,397,554,18997,12910,6087,12782,11538,1244,2425,396,2029,2780,534,2246,1010,442,568,20665,14242,6423,14231,12887,1344,2808,488,2320,2720,538,2182,906,329,577,22642,15564,7078,15343,13989,1354,3334,604,2730,2967,583,2384,998,388,610,24197,16595,7602,16256,14872,1384,3780,666,3114,3116,642,2474,1045,415,630
"읍부","60세이상",12051,4852,7199,10061,4266,5795,859,208,651,381,138,243,750,240,510,12849,5271,7578,10543,4608,5935,978,218,760,462,158,304,866,287,579,13985,5958,8027,11344,5189,6155,1129,258,871,601,202,399,911,309,602,15117,6503,8614,12123,5705,6418,1172,224,948,761,222,539,1061,352,709,15730,6934,8796,12449,6107,6342,1417,291,1126,813,238,575,1051,298,753,16431,7484,8947,12767,6561,6206,1619,325,1294,886,271,615,1159,327,832,17564,8313,9251,13205,7176,6029,1949,411,1538,1096,318,778,1314,408,906
"면부","계",133455,64164,69291,94565,59634,34931,15489,1202,14287,19133,1177,17956,4268,2151,2117,135453,65659,69794,96605,61073,35532,16281,1227,15054,18734,1359,17375,3833,2000,1833,135155,65666,69489,97132,61099,36033,16170,1227,14943,18246,1421,16825,3607,1919,1688,137055,66793,70262,98182,62082,36100,16613,1168,15445,18559,1565,16994,3701,1978,1723,136508,66452,70056,98049,62158,35891,17320,1279,16041,18011,1611,16400,3128,1404,1724,135581,66024,69557,96850,61474,35376,18215,1457,16758,17446,1764,15682,3070,1329,1741,135974,66446,69528,96192,61154,35038,19397,1580,17817,16660,1883,14777,3725,1829,1896
"면부","0~9세",29401,15173,14228,28968,14963,14005,312,153,159,X,X,X,121,57,64,29314,15144,14170,28957,14969,13988,252,134,118,X,X,X,105,41,64,27285,14076,13209,26902,13868,13034,252,137,115,X,X,X,131,71,60,25979,13428,12551,25562,13215,12347,249,131,118,X,X,X,168,82,86,24252,12470,11782,23821,12254,11567,308,157,151,X,X,X,123,59,64,22651,11641,11010,22163,11393,10770,333,181,152,X,X,X,155,67,88,20707,10584,10123,20267,10354,9913,316,168,148,X,X,X,124,62,62
