"행정구역별",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2023 p),2023 p),2023 p),2023 p),2023 p),2023 p),2023 p),2023 p),2023 p),2023 p),2023 p)
"행정구역별",출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당),출생건수 (명),합계출산율,조출생률 (천명당),사망건수 (명),조사망률 (천명당),자연증가건수 (명),자연증가율 (천명당),혼인건수 (건),조혼인율 (천명당),이혼건수 (건),조이혼율 (천명당)
"세종특별자치시",1111,1.435,9.5,812,7.0,299,2.6,743,6.4,240,2.1,1344,1.354,9.7,853,6.2,491,3.6,920,6.7,280,2.0,2708,1.893,14.8,979,5.4,1729,9.5,1498,8.2,324,1.8,3297,1.821,14.6,1065,4.7,2232,9.9,1612,7.1,343,1.5,3504,1.668,13.4,1159,4.4,2345,9.0,1728,6.6,465,1.8,3703,1.566,12.5,1259,4.3,2444,8.3,2038,6.9,485,1.6,3819,1.472,11.7,1221,3.7,2598,8.0,2039,6.2,606,1.9,3468,1.277,10.0,1317,3.8,2151,6.2,1854,5.3,601,1.7,3570,1.277,9.8,1354,3.7,2216,6.1,1627,4.5,624,1.7,3209,1.121,8.5,1678,4.5,1531,4.1,1664,4.4,546,1.4,2800,0.970,7.2,1600,4.2,1200,3.0,1705,4.4,569,1.5
"경기도",112129,1.226,9.3,50959,4.2,61170,5.1,77649,6.4,28733,2.4,112169,1.241,9.2,51425,4.2,60744,5.0,74306,6.1,28892,2.4,113495,1.272,9.2,53005,4.3,60490,4.9,73950,6.0,27688,2.2,105643,1.194,8.4,55215,4.4,50428,4.0,70052,5.6,26723,2.1,94088,1.069,7.4,56852,4.5,37236,2.9,66429,5.2,26924,2.1,88175,1.002,6.9,60050,4.7,28125,2.2,66877,5.2,27884,2.2,83198,0.943,6.4,60568,4.6,22630,1.7,62356,4.8,28453,2.2,77737,0.878,5.9,62794,4.7,14943,1.1,57814,4.4,27983,2.1,76139,0.853,5.7,67399,5.0,8740,0.7,54658,4.1,27256,2.0,75323,0.839,5.6,79010,5.9,-3687,-0.3,54178,4.0,24864,1.8,68800,0.770,5.1,75000,5.5,-6200,-0.5,54221,4.0,24833,1.8
"강원특별자치도",10980,1.249,7.2,10756,7.0,224,0.1,7946,5.2,3725,2.4,10662,1.248,7.0,11004,7.2,-342,-0.2,7785,5.1,3630,2.4,10929,1.311,7.1,11301,7.4,-372,-0.2,7876,5.1,3484,2.3,10058,1.237,6.5,11437,7.4,-1379,-0.9,7468,4.9,3482,2.3,8958,1.123,5.8,11545,7.5,-2587,-1.7,7295,4.7,3263,2.1,8351,1.067,5.4,11976,7.8,-3625,-2.4,6994,4.6,3418,2.2,8283,1.082,5.4,11906,7.8,-3623,-2.4,6762,4.4,3624,2.4,7835,1.036,5.1,12182,8.0,-4347,-2.8,5868,3.8,3358,2.2,7357,0.979,4.8,12749,8.3,-5392,-3.5,5622,3.7,3161,2.1,7278,0.968,4.8,15086,9.9,-7808,-5.1,5572,3.6,3117,2.0,6700,0.890,4.4,14200,9.3,-7500,-4.9,5494,3.6,2961,1.9
"충청북도",13658,1.365,8.8,10371,6.7,3287,2.1,9307,6.0,3732,2.4,13366,1.363,8.5,10174,6.5,3192,2.0,8774,5.6,3671,2.3,13563,1.414,8.6,10638,6.8,2925,1.9,8872,5.6,3486,2.2,12742,1.358,8.1,10787,6.8,1955,1.2,8334,5.3,3446,2.2,11394,1.235,7.2,11104,7.0,290,0.2,7990,5.0,3461,2.2,10586,1.172,6.7,11334,7.1,-748,-0.5,7827,4.9,3543,2.2,9333,1.050,5.9,11363,7.1,-2030,-1.3,7239,4.6,3699,2.3,8607,0.983,5.4,11594,7.3,-2987,-1.9,6682,4.2,3492,2.2,8190,0.949,5.1,11941,7.5,-3751,-2.4,5882,3.7,3256,2.0,7452,0.871,4.7,14108,8.9,-6656,-4.2,6185,3.9,3271,2.1,7600,0.890,4.8,13500,8.5,-5900,-3.7,6212,3.9,3255,2.0
"충청남도",18628,1.442,9.2,13854,6.8,4774,2.4,12482,6.2,4820,2.4,18200,1.421,8.9,14149,6.9,4051,2.0,12040,5.9,4915,2.4,18604,1.480,9.0,14469,7.0,4135,2.0,12331,6.0,4724,2.3,17302,1.395,8.3,14600,7.0,2702,1.3,11792,5.7,4682,2.3,15670,1.276,7.5,15321,7.3,349,0.2,10961,5.2,4835,2.3,14380,1.186,6.8,15802,7.5,-1422,-0.7,10970,5.2,4842,2.3,13228,1.112,6.3,15596,7.4,-2368,-1.1,9826,4.7,5202,2.5,11950,1.029,5.7,16022,7.6,-4072,-1.9,8493,4.0,5003,2.4,10984,0.963,5.2,16326,7.7,-5342,-2.5,8016,3.8,4798,2.3,10221,0.909,4.8,19719,9.3,-9498,-4.5,8017,3.8,4527,2.1,9400,0.840,4.5,18800,8.9,-9300,-4.4,8264,3.9,4429,2.1
"전라북도",14555,1.320,7.8,13492,7.3,1063,0.6,9823,5.3,4144,2.2,14231,1.329,7.7,13563,7.3,668,0.4,9211,5.0,4091,2.2,14087,1.352,7.6,13721,7.4,366,0.2,9060,4.9,3755,2.0,12698,1.251,6.8,14062,7.6,-1364,-0.7,8216,4.4,3979,2.1,11348,1.151,6.1,14295,7.7,-2947,-1.6,7817,4.2,3698,2.0,10001,1.044,5.5,14552,7.9,-4551,-2.5,7219,3.9,3934,2.1,8971,0.971,4.9,14525,8.0,-5554,-3.1,7005,3.9,4007,2.2,8165,0.909,4.5,14691,8.2,-6526,-3.6,6053,3.4,3763,2.1,7475,0.850,4.2,15049,8.4,-7574,-4.2,5325,3.0,3748,2.1,7032,0.817,4.0,17852,10.1,-10820,-6.1,5394,3.0,3377,1.9,6600,0.780,3.8,17200,9.8,-10600,-6.0,5483,3.1,3420,1.9
"전라남도",15401,1.518,8.1,16332,8.6,-931,-0.5,9995,5.3,4096,2.2,14817,1.497,7.8,16053,8.5,-1236,-0.7,9357,4.9,4135,2.2,15061,1.549,8.0,16543,8.7,-1482,-0.8,9275,4.9,4033,2.1,13980,1.466,7.4,16561,8.7,-2581,-1.4,8554,4.5,3965,2.1,12354,1.325,6.5,16848,8.9,-4494,-2.4,8049,4.3,4008,2.1,11238,1.240,6.0,17219,9.2,-5981,-3.2,7587,4.0,4170,2.2,10832,1.234,5.8,16787,9.0,-5955,-3.2,7413,4.0,4130,2.2,9738,1.145,5.3,17436,9.4,-7698,-4.2,6365,3.4,3907,2.1,8430,1.017,4.6,17568,9.6,-9138,-5.0,6201,3.4,3776,2.1,7888,0.969,4.3,20876,11.5,-12988,-7.1,6181,3.4,3565,2.0,7800,0.970,4.3,19800,11.0,-12000,-6.6,6157,3.4,3517,1.9
"경상북도",22206,1.379,8.3,20245,7.6,1961,0.7,15421,5.8,5410,2.0,22062,1.408,8.2,20304,7.6,1758,0.7,14183,5.3,5503,2.1,22310,1.464,8.3,20862,7.8,1448,0.5,14273,5.3,5348,2.0,20616,1.396,7.7,20978,7.8,-362,-0.1,13363,5.0,5375,2.0,17957,1.256,6.7,21278,7.9,-3321,-1.2,12190,4.6,5505,2.1,16079,1.167,6.0,22289,8.4,-6210,-2.3,11687,4.4,5620,2.1,14472,1.089,5.5,21703,8.2,-7231,-2.7,10637,4.0,5635,2.1,12873,1.003,4.9,22799,8.6,-9926,-3.8,9046,3.4,5553,2.1,12045,0.966,4.6,22928,8.8,-10883,-4.2,8163,3.1,5097,1.9,11311,0.930,4.3,27840,10.7,-16529,-6.3,8180,3.1,4911,1.9,10200,0.860,4.0,25300,9.9,-15100,-5.9,8128,3.2,4870,1.9
"경상남도",29504,1.367,8.9,19994,6.1,9510,2.9,20291,6.1,7547,2.3,29763,1.409,9.0,20239,6.1,9524,2.9,19056,5.7,7602,2.3,29537,1.437,8.9,21313,6.4,8224,2.5,18671,5.6,7368,2.2,27138,1.358,8.1,21193,6.3,5945,1.8,17580,5.3,7486,2.2,23849,1.227,7.1,21634,6.4,2215,0.7,15978,4.8,7355,2.2,21224,1.122,6.3,22719,6.8,-1495,-0.4,14996,4.5,7575,2.3,19250,1.046,5.7,22105,6.6,-2855,-0.9,13613,4.1,7827,2.3,16823,0.945,5.0,22881,6.9,-6058,-1.8,11900,3.6,7368,2.2,15562,0.903,4.7,23392,7.1,-7830,-2.4,10531,3.2,7034,2.1,14017,0.838,4.3,27385,8.3,-13368,-4.1,10504,3.2,6530,2.0,13100,0.800,4.0,26400,8.1,-13300,-4.1,10232,3.1,6471,2.0
"제주특별자치도",5328,1.427,9.1,3317,5.7,2011,3.4,3638,6.2,1440,2.5,5526,1.481,9.3,3300,5.5,2226,3.7,3593,6.0,1530,2.6,5600,1.477,9.2,3339,5.5,2261,3.7,3676,6.0,1447,2.4,5494,1.432,8.7,3542,5.6,1952,3.1,3705,5.9,1552,2.5,5037,1.305,7.8,3738,5.8,1299,2.0,3654,5.7,1530,2.4,4781,1.220,7.3,3912,6.0,869,1.3,3638,5.5,1607,2.4,4500,1.145,6.8,3959,6.0,541,0.8,3358,5.1,1716,2.6,3989,1.021,6.0,3952,5.9,37,0.1,2981,4.5,1744,2.6,3728,0.951,5.6,4229,6.3,-501,-0.7,2661,4.0,1490,2.2,3599,0.919,5.3,4806,7.1,-1207,-1.8,2718,4.0,1564,2.3,3200,0.830,4.8,4700,7.0,-1500,-2.2,2614,3.9,1493,2.2
"국외",,-,,,,,,7909,,3281,,,-,,,,,,7724,,3225,,,-,,,,,,6704,,2811,,,-,,,,,,5096,,1952,,-,-,-,-,-,-,-,5115,-,1818,-,,-,,,,,,5283,,1894,,-,-,-,-,-,-,-,5248,-,1796,-,-,-,-,-,-,-,-,3385,-,1600,-,-,-,-,-,-,-,-,3163,-,1616,-,-,-,-,-,-,-,-,3804,-,1526,-,-,-,-,-,-,-,-,4094,-,1623,-
