"경기도","여자",127349,2748,1152,591,1815,11768,22565,18254,12621,13893,14343,12919,9322,3291,912,522,366,267,141648,3759,1577,730,1847,10689,23270,19533,14133,14636,16174,16950,12714,3834,1016,367,237,182,149096,4634,2113,946,1959,10058,22797,20921,14917,13824,16657,18313,15494,4570,1195,318,215,165,149325,5530,2618,1191,2255,10307,20764,21447,15222,12859,16078,19141,14731,5348,1166,322,185,161,150286,6090,3308,1602,2633,10455,19524,21953,16417,12573,16230,17730,14825,5034,1254,322,172,164,160088,6740,4040,2096,3088,11827,18643,22490,17593,12881,16477,18072,18394,5630,1379,399,159,180,163723,7192,4792,2488,3560,12727,17792,22482,18144,13658,15563,17075,19111,6604,1650,507,186,192,152682,6928,4966,2712,2612,11219,15922,21170,18287,13326,13251,15467,17274,6671,1883,607,177,210,149414,6444,5453,3120,2731,11168,15358,19699,18800,13633,12091,14609,17272,5714,2187,701,211,223,155998,6431,5646,3116,3503,12962,16455,19751,19896,15033,11811,14721,15806,10867
"경상남도","계",69126,721,429,229,563,10222,19028,13935,8541,5623,3502,2984,1966,856,318,104,55,50,77778,1034,649,340,543,9923,20703,16179,9735,6431,4306,3819,2484,1095,341,112,39,45,82316,1240,818,430,574,9578,20941,17819,10471,6692,4832,4139,2937,1248,413,107,33,44,81021,1301,855,501,703,8777,19552,17787,10807,6531,4912,4388,2908,1371,421,131,33,43,75136,1155,781,466,921,7837,17525,17212,10507,5857,4448,3832,2808,1208,383,123,35,38,74304,1247,890,547,972,8251,16287,16836,10702,5891,4327,3640,2928,1215,369,126,39,37,76123,1363,1072,682,1208,9080,15822,16750,11128,6208,4260,3571,3045,1297,405,154,48,30,67239,1160,945,638,740,7135,13066,15069,10895,5905,3899,3193,2714,1259,377,157,50,37,63148,1167,1007,695,759,5870,11766,13626,10857,6046,3791,3105,2611,1151,442,157,58,40,70390,1308,1032,686,917,6786,13743,14952,12120,6853,3879,3298,2663,2153
"경상남도","남자",49767,379,218,124,221,6734,14643,11194,6893,4066,1900,1517,1055,524,198,62,22,17,56169,533,326,177,234,6711,16058,13072,7748,4752,2386,1907,1314,623,219,72,17,20,59196,633,403,216,240,6570,16040,14387,8330,4932,2786,2098,1491,701,268,65,17,19,57409,671,422,236,316,5781,14862,14135,8504,4840,2842,2248,1463,724,253,79,15,18,52059,571,393,228,453,4894,13091,13371,8154,4241,2554,1842,1324,608,224,77,17,17,50924,629,458,275,492,5264,12035,12913,8212,4184,2453,1751,1347,588,210,73,24,16,51952,689,556,337,580,5998,11721,12721,8439,4323,2504,1729,1396,611,204,102,28,14,45130,597,484,323,365,4503,9391,11137,8214,4129,2292,1556,1233,564,190,105,30,17,41651,591,513,366,337,3472,8368,9925,8019,4205,2299,1523,1166,492,219,101,36,19,47483,677,528,342,456,4188,10061,11206,9041,4770,2371,1663,1167,1013
"경상남도","여자",19359,342,211,105,342,3488,4385,2741,1648,1557,1602,1467,911,332,120,42,33,33,21609,501,323,163,309,3212,4645,3107,1987,1679,1920,1912,1170,472,122,40,22,25,23120,607,415,214,334,3008,4901,3432,2141,1760,2046,2041,1446,547,145,42,16,25,23612,630,433,265,387,2996,4690,3652,2303,1691,2070,2140,1445,647,168,52,18,25,23077,584,388,238,468,2943,4434,3841,2353,1616,1894,1990,1484,600,159,46,18,21,23380,618,432,272,480,2987,4252,3923,2490,1707,1874,1889,1581,627,159,53,15,21,24171,674,516,345,628,3082,4101,4029,2689,1885,1756,1842,1649,686,201,52,20,16,22109,563,461,315,375,2632,3675,3932,2681,1776,1607,1637,1481,695,187,52,20,20,21497,576,494,329,422,2398,3398,3701,2838,1841,1492,1582,1445,659,223,56,22,21,22907,631,504,344,461,2598,3682,3746,3079,2083,1508,1635,1496,1140
"경상북도","계",43499,316,141,84,647,8460,11572,8364,4988,3128,2066,1620,1225,531,164,85,47,61,47805,388,188,82,700,8234,12481,9444,5633,3593,2477,2071,1493,682,174,75,36,54,49765,510,256,104,870,7909,12612,9784,6010,3737,2705,2268,1808,786,249,76,36,45,51351,649,328,156,1207,8468,12418,10060,6083,3705,2840,2365,1759,877,279,84,37,36,53364,745,437,237,1934,9115,12329,10182,6505,3718,2782,2398,1748,816,266,84,29,39,56969,772,523,306,2571,10672,12430,10515,6948,3800,2856,2422,1890,829,284,86,26,39,58119,923,636,416,2102,11531,12135,10547,7160,4080,2865,2396,1980,870,316,88,30,44,52469,862,573,394,783,9809,10907,10000,7023,4087,2704,2212,1783,853,295,108,37,39,51100,895,674,462,785,8801,10528,9689,7153,4235,2674,2206,1707,784,312,115,38,42,57055,989,734,439,1165,9184,12066,10751,8020,4931,2853,2457,1905,1561
"경상북도","남자",26971,149,64,41,291,4724,7339,5954,3684,2079,949,700,567,278,82,36,15,19,30382,176,90,34,323,4833,8241,6812,4169,2400,1213,925,684,337,75,38,15,17,31579,238,119,55,408,4731,8317,7001,4410,2515,1401,1016,803,381,117,38,12,17,32392,331,159,70,544,4962,8304,7127,4381,2528,1491,1060,774,447,138,45,18,13,33583,384,211,120,861,5397,8413,7152,4624,2492,1469,1083,763,403,136,44,15,16,35893,373,268,157,1189,6457,8632,7315,4957,2469,1539,1108,821,381,153,43,13,18,36455,462,309,202,976,6940,8516,7224,5024,2631,1565,1084,892,380,167,46,18,19,32696,431,277,199,363,5684,7590,6792,4821,2620,1501,1017,794,373,142,54,22,16,31467,459,321,232,399,4892,7182,6533,4853,2718,1506,1031,755,328,158,62,21,17,35997,507,350,216,601,5328,8354,7568,5554,3192,1593,1181,829,724
"경상북도","여자",16528,167,77,43,356,3736,4233,2410,1304,1049,1117,920,658,253,82,49,32,42,17423,212,98,48,377,3401,4240,2632,1464,1193,1264,1146,809,345,99,37,21,37,18186,272,137,49,462,3178,4295,2783,1600,1222,1304,1252,1005,405,132,38,24,28,18959,318,169,86,663,3506,4114,2933,1702,1177,1349,1305,985,430,141,39,19,23,19781,361,226,117,1073,3718,3916,3030,1881,1226,1313,1315,985,413,130,40,14,23,21076,399,255,149,1382,4215,3798,3200,1991,1331,1317,1314,1069,448,131,43,13,21,21664,461,327,214,1126,4591,3619,3323,2136,1449,1300,1312,1088,490,149,42,12,25,19773,431,296,195,420,4125,3317,3208,2202,1467,1203,1195,989,480,153,54,15,23,19633,436,353,230,386,3909,3346,3156,2300,1517,1168,1175,952,456,154,53,17,25,21058,482,384,223,564,3856,3712,3183,2466,1739,1260,1276,1076,837
"광주광역시","계",15557,168,77,66,525,3555,3805,2358,1512,1072,879,711,470,215,73,23,27,21,17064,202,99,77,473,3731,4067,2642,1649,1149,985,925,650,250,91,27,23,24,18455,262,145,119,466,3901,4286,2869,1734,1330,1071,1047,781,258,103,36,18,29,19920,376,198,156,610,4145,4467,3011,1895,1404,1171,1155,821,306,123,42,17,23,21279,482,295,200,690,4465,4541,3261,2067,1391,1303,1166,878,331,120,47,18,24,22815,531,360,247,1147,4984,4602,3338,2165,1448,1330,1199,943,340,93,43,17,28,23825,570,453,286,1229,5669,4584,3383,2208,1476,1305,1121,1005,333,115,44,18,26,21323,513,436,292,700,4855,4146,3187,2184,1377,1208,1001,896,333,112,34,28,21,20934,596,515,326,556,4837,4079,3088,2172,1375,1076,950,842,316,121,37,23,25,22967,698,572,374,722,5089,4650,3289,2387,1506,1075,1061,893,651
"광주광역시","남자",8237,88,40,36,231,1615,2131,1516,985,613,328,269,203,104,41,11,12,14,9212,103,55,36,200,1810,2345,1670,1057,642,426,346,305,121,54,14,11,17,10015,132,77,60,236,1918,2463,1794,1088,768,493,397,360,127,56,19,11,16,10688,186,99,78,309,2076,2570,1800,1166,783,549,456,362,146,60,24,9,15,11655,253,150,106,371,2340,2730,1909,1250,766,647,473,383,165,57,28,11,16,12545,283,177,134,608,2781,2740,1936,1270,789,675,492,402,156,51,26,8,17,13020,296,224,135,611,3244,2740,1922,1227,791,649,494,424,154,62,24,9,14,11508,269,203,136,314,2760,2461,1788,1199,737,600,439,355,150,55,16,15,11,11163,314,243,166,262,2611,2384,1748,1187,743,520,432,316,138,56,16,14,13,12483,371,291,184,333,2764,2812,1947,1335,804,524,486,330,302
"광주광역시","여자",7320,80,37,30,294,1940,1674,842,527,459,551,442,267,111,32,12,15,7,7852,99,44,41,273,1921,1722,972,592,507,559,579,345,129,37,13,12,7,8440,130,68,59,230,1983,1823,1075,646,562,578,650,421,131,47,17,7,13,9232,190,99,78,301,2069,1897,1211,729,621,622,699,459,160,63,18,8,8,9624,229,145,94,319,2125,1811,1352,817,625,656,693,495,166,63,19,7,8,10270,248,183,113,539,2203,1862,1402,895,659,655,707,541,184,42,17,9,11,10805,274,229,151,618,2425,1844,1461,981,685,656,627,581,179,53,20,9,12,9815,244,233,156,386,2095,1685,1399,985,640,608,562,541,183,57,18,13,10,9771,282,272,160,294,2226,1695,1340,985,632,556,518,526,178,65,21,9,12,10484,327,281,190,389,2325,1838,1342,1052,702,551,575,563,349
