"행정구역별(읍면동)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(읍면동)","연령별",총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비,총인구(명),총인구_남자(명),총인구_여자(명),총인구_성비,내국인(명),내국인_남자(명),내국인_여자(명),내국인_성비
"전국","합계",51069375,25608502,25460873,100.6,49705663,24819839,24885824,99.7,51269554,25696987,25572567,100.5,49855796,24881520,24974276,99.6,51422507,25768055,25654452,100.4,49943260,24922392,25020868,99.6,51629512,25877195,25752317,100.5,49977951,24931554,25046397,99.5,51779203,25952070,25827133,100.5,50000285,24934662,25065623,99.5,51829136,25915207,25913929,100.0,50133493,24972588,25160905,99.3,51738071,25850044,25888027,99.9,50088104,24943537,25144567,99.2,51692272,25835298,25856974,99.9,49939926,24866514,25073412,99.2
"전국","0~4세",2258670,1159011,1099659,105.4,2235397,1147126,1088271,105.4,2218378,1137155,1081223,105.2,2192603,1124012,1068591,105.2,2102959,1077714,1025245,105.1,2075937,1064016,1011921,105.1,2000217,1025394,974823,105.2,1967942,1008953,958989,105.2,1881548,965211,916337,105.3,1841730,944850,896880,105.3,1722081,883196,838885,105.3,1684917,864276,820641,105.3,1570409,805852,764557,105.4,1536204,788406,747798,105.4,1459301,748056,711245,105.2,1426032,731063,694969,105.2
"전국","5~9세",2267851,1169770,1098081,106.5,2252950,1162087,1090863,106.5,2304689,1187031,1117658,106.2,2287123,1177879,1109244,106.2,2303030,1185280,1117750,106.0,2287878,1177479,1110399,106.0,2279824,1172145,1107679,105.8,2261032,1162616,1098416,105.8,2276617,1168966,1107651,105.5,2251185,1156094,1095091,105.6,2264595,1161247,1103348,105.2,2238916,1148248,1090668,105.3,2212372,1133426,1078946,105.0,2180368,1117345,1063023,105.1,2095594,1073564,1022030,105.0,2060530,1055963,1004567,105.1
"전국","10~14세",2427792,1262770,1165022,108.4,2418360,1257902,1160458,108.4,2299146,1193915,1105231,108.0,2288612,1188475,1100137,108.0,2276763,1178964,1097799,107.4,2267947,1174461,1093486,107.4,2262767,1169008,1093759,106.9,2250907,1163024,1087883,106.9,2234015,1152447,1081568,106.6,2219036,1144862,1074174,106.6,2267481,1168937,1098544,106.4,2252113,1161098,1091015,106.4,2304690,1186319,1118371,106.1,2286676,1177079,1109597,106.1,2305033,1185794,1119239,105.9,2283668,1174962,1108706,106.0
"전국","15~19세",3194079,1668683,1525396,109.4,3170545,1657722,1512823,109.6,3084039,1606802,1477237,108.8,3056728,1594229,1462499,109.0,2922140,1523741,1398399,109.0,2891577,1509599,1381978,109.2,2772966,1445280,1327686,108.9,2735274,1427114,1308160,109.1,2637341,1371661,1265680,108.4,2595613,1352018,1243595,108.7,2449561,1271404,1178157,107.9,2422002,1258885,1163117,108.2,2313299,1198911,1114388,107.6,2288333,1187703,1100630,107.9,2303446,1190769,1112677,107.0,2266980,1173549,1093431,107.3
"전국","20~24세",3531108,1887776,1643332,114.9,3385936,1808857,1577079,114.7,3552780,1898134,1654646,114.7,3400634,1816165,1584469,114.6,3517690,1872652,1645038,113.8,3355986,1786645,1569341,113.8,3484744,1851798,1632946,113.4,3290233,1744884,1545349,112.9,3413656,1806316,1607340,112.4,3203741,1690943,1512798,111.8,3364804,1762135,1602669,110.0,3193316,1670636,1522680,109.7,3223654,1681183,1542471,109.0,3066118,1602890,1463228,109.5,3054220,1597071,1457149,109.6,2879013,1509973,1369040,110.3
"전국","25~29세",3265288,1728888,1536400,112.5,3027896,1581887,1446009,109.4,3308184,1756218,1551966,113.2,3068970,1607473,1461497,110.0,3407757,1815686,1592071,114.0,3164039,1665093,1498946,111.1,3520222,1884327,1635895,115.2,3259284,1721877,1537407,112.0,3612505,1938641,1673864,115.8,3343423,1771185,1572238,112.7,3666212,1959723,1706489,114.8,3423231,1813896,1609335,112.7,3663127,1954718,1708409,114.4,3439492,1822691,1616801,112.7,3622860,1930682,1692178,114.1,3384426,1787742,1596684,112.0
"전국","30~34세",3811610,1986796,1824814,108.9,3611034,1854905,1756129,105.6,3629317,1894497,1734820,109.2,3415599,1756053,1659546,105.8,3447773,1804860,1642913,109.9,3216057,1657296,1558761,106.3,3339755,1755850,1583905,110.9,3080835,1592897,1487938,107.1,3304679,1745076,1559603,111.9,3029678,1573520,1456158,108.1,3301331,1742483,1558848,111.8,3032832,1579900,1452932,108.7,3332272,1759768,1572504,111.9,3080905,1609294,1471611,109.4,3435308,1825651,1609657,113.4,3179338,1668917,1510421,110.5
"전국","35~39세",3926862,2022466,1904396,106.2,3783589,1927388,1856201,103.8,4002467,2062739,1939728,106.3,3852007,1963865,1888142,104.0,4070681,2100211,1970470,106.6,3904372,1992903,1911469,104.3,4106922,2120795,1986127,106.8,3915428,1999417,1916011,104.4,3999744,2070152,1929592,107.3,3791256,1939621,1851635,104.8,3805470,1970249,1835221,107.4,3594213,1841713,1752500,105.1,3622347,1877724,1744623,107.6,3408007,1748821,1659186,105.4,3437364,1788398,1648966,108.5,3210198,1650898,1559300,105.9
